Connecting to /dev/ttyUSB1 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
58271,2000,3.928,-1.3,0.9,26.6
58423,2000,3.923,-0.8,1.2,26.5
58575,2000,3.919,-0.5,1.3,26.5
58727,2000,3.916,-0.5,1.1,26.7
58878,2000,3.913,-0.5,0.9,27.1
59030,2000,3.912,-0.7,0.9,27.7
59182,2000,3.912,-0.7,0.8,28.5
59334,2000,3.916,-0.6,0.9,29.2
59485,2000,3.92,-0.4,1.1,29.9
59637,2000,3.921,-0.0,1.2,30.5
59789,2000,3.924,0.1,1.5,31.2
59941,2000,3.926,-0.1,1.6,31.7
60093,2000,3.929,-0.2,1.7,32.2
60245,2000,3.929,-0.2,1.7,32.5
60396,2000,3.929,-0.5,1.7,32.6
60548,2000,3.925,-0.5,1.7,32.5
60700,2000,3.921,-0.4,2.0,32.1
60852,2000,3.915,-0.3,2.2,31.6
61003,2000,3.912,-0.4,2.6,31.3
61155,2000,3.905,-0.4,2.9,31.0
61307,2000,3.898,-0.3,3.0,30.7
61458,2000,3.893,-0.2,3.0,30.4
61610,2000,3.891,-0.2,2.9,30.0
61762,2000,3.894,-0.1,2.7,29.4
61914,2000,3.898,0.0,2.5,28.7
62065,2000,3.903,0.2,2.4,27.9
62217,2000,3.907,0.7,2.3,27.1
62369,2000,3.908,1.0,2.3,26.4
62520,2000,3.908,1.1,2.2,25.8
62672,2000,3.906,0.9,1.8,25.3
62824,2000,3.905,0.7,1.3,24.9
62976,2000,3.905,0.4,1.0,24.6
63127,2000,3.904,0.2,1.0,24.5
63279,2000,3.904,0.1,1.0,24.6
63431,2000,3.905,-0.1,1.0,24.8
63583,2000,3.908,-0.2,1.0,25.0
63735,2000,3.91,-0.3,1.1,25.3
63887,2000,3.915,-0.4,0.9,25.6
64038,2000,3.918,-0.4,0.9,25.9
64190,2000,3.919,-0.2,0.9,26.1
64394,2000,3.7,-0.4,0.7,26.7
64546,2000,3.695,-0.3,1.0,27.4
64698,2000,3.699,-0.3,1.0,27.3
64850,2000,3.701,-0.4,1.0,27.2
65002,2000,3.712,-0.5,1.1,27.1
65153,2000,3.725,-0.5,1.2,27.1
65305,2000,3.743,-0.4,1.3,27.0
65457,2000,3.76,-0.5,1.2,26.9
65608,2000,3.781,-0.8,0.9,26.8
65760,2000,3.802,-1.0,0.8,26.6
65912,2000,3.823,-1.0,0.7,26.4
66064,2000,3.84,-0.9,0.6,26.3
66215,2000,3.857,-0.8,0.5,26.2
66367,2000,3.866,-0.9,0.4,26.2
66519,2000,3.879,-1.1,0.6,26.2
66671,2000,3.887,-1.3,0.8,26.2
66822,2000,3.897,-1.3,0.8,26.2
66974,2000,3.904,-1.3,1.0,26.2
67126,2000,3.913,-1.3,1.1,26.1
67278,2000,3.922,-1.2,1.1,26.1
67430,2000,3.931,-1.1,0.9,26.0
67582,2000,3.943,-1.1,0.8,26.0
67734,2000,3.954,-1.1,0.6,25.9
67885,2000,3.966,-1.0,0.4,25.9
68037,2000,3.975,-0.7,0.3,25.7
68189,2000,3.985,-0.4,0.2,25.2
68341,2000,3.994,-0.2,0.1,23.9
68493,2000,4.0,0.0,-0.1,21.5
68644,2000,4.003,-0.0,-0.2,17.9
68796,2000,4.007,-0.1,-0.2,13.3
68948,2000,4.009,-0.3,-0.0,8.5
69100,2000,4.014,-0.5,0.2,4.1
69252,2000,4.018,-0.7,0.4,0.7
69403,2000,4.024,-0.9,0.5,-1.4
69555,2000,4.027,-1.0,0.5,-2.4
69707,2000,4.027,-1.1,0.6,-2.6
69859,2000,4.027,-1.1,0.6,-2.0
